id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
1657,Guňjo,Gunjo,,NOUN,n.m. pl.,,,Moustache,,Moustache,,,mainDictionary_repaired.csv,51,original,,Guňjo,Guňjओ,low,unmapped_chars_sample='Guňj' count=4,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'ň', 'pos': 2}, {'matched': None, 'char': 'j', 'pos': 3}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 4, 'len': 1, 'note': 'Mid-back rounded vowel'}]"
1658,Gúňṭh,Gunth,,NOUN,n.m.,,,Pony,,Pony,,pl. -o,mainDictionary_repaired.csv,51,original,,Gúňṭh,Gúňṭh,low,unmapped_chars_sample='Gúňṭh' count=5,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'ú', 'pos': 1}, {'matched': None, 'char': 'ň', 'pos': 2}, {'matched': None, 'char': 'ṭ', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}]"
1659,Guṛ,Gur,,NOUN,n.m.,,H. guṛ,Brown sugar,,Brown sugar,,,mainDictionary_repaired.csv,51,original,,Guṛ,Guṛ,low,unmapped_chars_sample='Guṛ' count=3,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'ṛ', 'pos': 2}]"
1660,Gurí,Guri,,N.F.,n.f.,,,"A knot, knob",,"A knot, knob",,,mainDictionary_repaired.csv,51,original,,Gurí,Gurí,low,unmapped_chars_sample='Gurí' count=4,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'í', 'pos': 3}]"
1661,Gusá,Gusa,,NOUN,n.m.,,P. gussā,"Anger, indignation",,"Anger, indignation",,"-karṇá, v.i. re. To become angry or indignant",mainDictionary_repaired.csv,51,original,,Gusá,Gusá,low,unmapped_chars_sample='Gusá' count=4,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}]"
1662,Gúṭhá,Gutha,,NOUN,n.m.,,S. aṅgushṭha; H. aṅgūṭhā,The thumb,,The thumb,,"-ḍashṇá, v.a. re. To deny; -láṇá, v.i. re. To put the thumb (e.g., on a deed); -í, n.f. A finger-ring",mainDictionary_repaired.csv,51,original,,Gúṭhá,Gúṭhá,low,unmapped_chars_sample='Gúṭhá' count=5,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'ú', 'pos': 1}, {'matched': None, 'char': 'ṭ', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
1663,Gúṭhṛá,Guthra,,NOUN,n.m.,,,See Gúṭhá,,See Gúṭhá,,"-í, n.f. A finger-ring",mainDictionary_repaired.csv,51,original,,Gúṭhṛá,Gúṭhṛá,low,unmapped_chars_sample='Gúṭhṛá' count=6,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'ú', 'pos': 1}, {'matched': None, 'char': 'ṭ', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'ṛ', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}]"
1664,Guwá or Gowá,Guwa or Gowa,,V.,v.,,,"The past tense of the verb jáṇu, to go; went",,"The past tense of the verb jáṇu, to go; went",,,mainDictionary_repaired.csv,51,original,,Guwá or Gowá,Guwá ओr Gओwá,low,unmapped_chars_sample='Guwá r' count=10,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'w', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': ' ', 'pos': 4}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 5, 'len': 1, 'note': 'Mid-back rounded vowel'}]"
1665,Guwá,Guwa,,NOUN,n.m.,,H. gawāh,(1) A witness; also (2) evidence,,(1) A witness; also (2) evidence,,,mainDictionary_repaired.csv,51,original,,Guwá,Guwá,low,unmapped_chars_sample='Guwá' count=4,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'w', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}]"
1666,Guwáchi-jáṇu,Guwachi-janu,,V.I.,v.i. ir.,,,To be lost,,To be lost,,"f. -í, pl. -é",mainDictionary_repaired.csv,51,original,,Guwát͡ʃi-jáṇu,Guwáच/छi-jáṇu,low,unmapped_chars_sample='Guwái-' count=10,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'w', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 4, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'i', 'pos': 6}]"
1667,Guwáchṇu,Guwachnu,,V.T.,v.t. re.,,,To lose; v.r. re. To be lost,,To lose; v.r. re. To be lost,,"f. -í, pl. -é",mainDictionary_repaired.csv,51,original,,Guwát͡ʃṇu,Guwáच/छṇu,low,unmapped_chars_sample='Guwáṇu' count=6,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'w', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 4, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'ṇ', 'pos': 6}]"
1668,Guwáí,Guwai,,N.F.,n.f.,,H. gawāhī,(1) Evidence; (2) A witness,,(1) Evidence; (2) A witness,,"-deṇí, v.t. re. To give evidence",mainDictionary_repaired.csv,51,original,,Guwáí,Guwáí,low,unmapped_chars_sample='Guwáí' count=5,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'w', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}]"
1669,Gwálí,Gwali,,N.F.,n.f.,,,"(1) A shepherdess; (2) A kind of insect, green in colour and long in size, like a grasshopper",,"(1) A shepherdess; (2) A kind of insect, green in colour and long in size, like a grasshopper",,,mainDictionary_repaired.csv,52,original,,Gwálí,Gwálí,low,unmapped_chars_sample='Gwálí' count=5,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'w', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}]"
1670,Gwá'r,Gwa'r,,ADJ.,adj.,,H. ganwār,"Uncivilized, ignorant, a fool",,"Uncivilized, ignorant, a fool",,,mainDictionary_repaired.csv,52,original,,Gwá'r,Gwá'r,low,unmapped_chars_sample='Gwá'r' count=5,"[{'matched': None, 'char': 'G', 'pos': 0}, {'matched': None, 'char': 'w', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': ""'"", 'pos': 3}, {'matched': None, 'char': 'r', 'pos': 4}]"
1671,Hachhá or -u,Hachha or -u,,ADJ.,adj.,,H. achchhá,Good; Well,,Good; Well,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,52,original,,Hat͡ʃhá or -u,Hअच/छhá ओr -u,low,unmapped_chars_sample='Hhá r ' count=8,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 2, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}, {'matched': None, 'char': ' ', 'pos': 6}]"
1672,Háchh,Hachh,,NOUN,n.m.,,,A bear,,A bear,,,mainDictionary_repaired.csv,52,original,,Hát͡ʃh,Háच/छh,low,unmapped_chars_sample='Háh' count=3,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 2, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'h', 'pos': 4}]"
1673,Háchhe,Hachhe,,NOUN,n.m. pl.,,,A kind of thorny plant that bears edible red berries,,A kind of thorny plant that bears edible red berries,,,mainDictionary_repaired.csv,52,original,,Hát͡ʃhe,Háच/छhए,low,unmapped_chars_sample='Háh' count=3,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 2, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 5, 'len': 1, 'note': 'Mid-front vowel'}]"
1674,Há'ḍ or háḍkí,Ha'd or hadki,,NOUN,n.m. or f.,,H. haḍḍī,A bone,,A bone,,pl. Há'ḍ,mainDictionary_repaired.csv,52,original,,Há'ḍ or háḍkí,Há'ḍ ओr háḍkí,low,unmapped_chars_sample='Há'ḍ r' count=12,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': ""'"", 'pos': 2}, {'matched': None, 'char': 'ḍ', 'pos': 3}, {'matched': None, 'char': ' ', 'pos': 4}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 5, 'len': 1, 'note': 'Mid-back rounded vowel'}]"
1675,Haḍḍ,Hadd,,N.F.,n.f.,,,Conversation,,Conversation,,"-láṇí, v.t. re. To converse (H. hadīs)",mainDictionary_repaired.csv,52,original,,Haḍḍ,Hअḍḍ,low,unmapped_chars_sample='Hḍḍ' count=3,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'ḍ', 'pos': 2}, {'matched': None, 'char': 'ḍ', 'pos': 3}]"
1676,Hadd,Hadd,,N.F.,n.f.,,,"A limit, boundary",,"A limit, boundary",,"-hoṇu, v.i. re. To get beyond all bounds",mainDictionary_repaired.csv,52,original,,Hadd,Hअdd,low,unmapped_chars_sample='Hdd' count=3,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'd', 'pos': 3}]"
1677,Hadí,Hadi,,N.F.,n.f.,,,Conversation,,Conversation,,"-láṇí, v.i. re. To converse",mainDictionary_repaired.csv,52,original,,Hadí,Hअdí,low,unmapped_chars_sample='Hdí' count=3,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'í', 'pos': 3}]"
1678,Hadṛí-láṇí,Hadri-lani,,V.T.,v.t. re.,,,To converse,,To converse,,,mainDictionary_repaired.csv,52,original,,Hadṛí-láṇí,Hअdṛí-láṇí,low,unmapped_chars_sample='Hdṛí-l' count=9,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'ṛ', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}, {'matched': None, 'char': '-', 'pos': 5}]"
1679,Háe,Hae,,INT.,int.,,,"Oh, alas, ah!",,"Oh, alas, ah!",,,mainDictionary_repaired.csv,52,original,,Háe,Háए,low,unmapped_chars_sample='Há' count=2,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 2, 'len': 1, 'note': 'Mid-front vowel'}]"
1680,Hagáwṇu,Hagawnu,,V.T.,v.t. re.,,,To cause or allow to go to stool,,To cause or allow to go to stool,,"f. -í, pl. -é",mainDictionary_repaired.csv,52,original,,Hagáwṇu,Hअgáwṇu,low,unmapped_chars_sample='Hgáwṇu' count=6,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'w', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}]"
1681,Hagṇí,Hagni,,N.F.,n.f.,,,Anus,,Anus,,,mainDictionary_repaired.csv,52,original,,Hagṇí,Hअgṇí,low,unmapped_chars_sample='Hgṇí' count=4,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': None, 'char': 'ṇ', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}]"
1682,Hagṇu,Hagnu,,V.I.,v.i. re.,,H. hagnā,To go to stool,,To go to stool,,,mainDictionary_repaired.csv,52,original,,Hagṇu,Hअgṇu,low,unmapped_chars_sample='Hgṇu' count=4,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': None, 'char': 'ṇ', 'pos': 3}, {'matched': None, 'char': 'u', 'pos': 4}]"
1683,Húl,Hul,,N.F.,n.f.,,,"(pronounced hel). A hard task, to be done with the help of many persons",,"(pronounced hel). A hard task, to be done with the help of many persons",,"-deṇí, v.t. ir. To work collectively",mainDictionary_repaired.csv,52,original,,Húl,Húl,low,unmapped_chars_sample='Húl' count=3,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'ú', 'pos': 1}, {'matched': None, 'char': 'l', 'pos': 2}]"
1684,Húňgo,Hungo,,,,,,"A form of address to a relative, meaning 'O my dear'",,"A form of address to a relative, meaning 'O my dear'",,,mainDictionary_repaired.csv,52,original,,Húňgo,Húňgओ,low,unmapped_chars_sample='Húňg' count=4,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'ú', 'pos': 1}, {'matched': None, 'char': 'ň', 'pos': 2}, {'matched': None, 'char': 'g', 'pos': 3}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 4, 'len': 1, 'note': 'Mid-back rounded vowel'}]"
1685,Húňlá or hajňré,Hunla or hajnre,,,,,,"A form of address, 'O you'",,"A form of address, 'O you'",,,mainDictionary_repaired.csv,52,original,,Húňlá or hajňreː,Húňlá ओr hअjňrए (lengthened),low,unmapped_chars_sample='Húňlá ' count=12,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'ú', 'pos': 1}, {'matched': None, 'char': 'ň', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}]"
1686,Hájaṛ,Hajar,,ADJ.,adj.,,P. ḥāẓir,Present,,Present,,,mainDictionary_repaired.csv,52,original,,Hájaṛ,Hájअṛ,low,unmapped_chars_sample='Hájṛ' count=4,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'j', 'pos': 2}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 3, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'ṛ', 'pos': 4}]"
1687,Há'k,Ha'k,,N.F.,n.f.,,,A halloo,,A halloo,,"-deṇí, v.t. ir. To halloo",mainDictionary_repaired.csv,52,original,,Há'k,Há'k,low,unmapped_chars_sample='Há'k' count=4,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': ""'"", 'pos': 2}, {'matched': None, 'char': 'k', 'pos': 3}]"
1688,Hákáwṇu,Hakawnu,,V.T.,v.t. re.,,H. hakáná,To cause or allow to drive,,To cause or allow to drive,,"f. -í, pl. -é",mainDictionary_repaired.csv,52,original,,Hákáwṇu,Hákáwṇu,low,unmapped_chars_sample='Hákáwṇ' count=7,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'k', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'w', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}]"
1689,Hákṇu,Haknu,,V.T.,v.t. re.,,,To drive away,,To drive away,,"f. -í, pl. -é",mainDictionary_repaired.csv,52,original,,Hákṇu,Hákṇu,low,unmapped_chars_sample='Hákṇu' count=5,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'k', 'pos': 2}, {'matched': None, 'char': 'ṇ', 'pos': 3}, {'matched': None, 'char': 'u', 'pos': 4}]"
1690,Háláwṇu,Halawnu,,V.T.,v.t. re.,,H. hiláná,To shake,,To shake,,"f. -í, pl. -é",mainDictionary_repaired.csv,52,original,,Háláwṇu,Háláwṇu,low,unmapped_chars_sample='Háláwṇ' count=7,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}, {'matched': None, 'char': 'w', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}]"
1691,Hal-báí,Hal-bai,,NOUN,n.m.,,,"One who ploughs, a ploughman",,"One who ploughs, a ploughman",,,mainDictionary_repaired.csv,52,original,,Hal-báí,Hअl-báí,low,unmapped_chars_sample='Hl-báí' count=6,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': '-', 'pos': 3}, {'matched': None, 'char': 'b', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}]"
1692,Haljé,Halje,,N.F.,n.f.,,H. haldī,Turmeric,,Turmeric,,,mainDictionary_repaired.csv,52,original,,Haljeː,Hअljए (lengthened),low,unmapped_chars_sample='Hlj' count=3,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'j', 'pos': 3}, {'matched': 'é', 'ipa': 'eː', 'deva': 'ए (lengthened)', 'pos': 4, 'len': 1, 'note': 'Marked as distinct in orthography; likely length or stress'}]"
1693,Halkáwṇu,Halkawnu,,V.I.,v.i. re.,,,To cause or allow to shake,,To cause or allow to shake,,"f. -í, pl. -é",mainDictionary_repaired.csv,52,original,,Halkáwṇu,Hअlkáwṇu,low,unmapped_chars_sample='Hlkáwṇ' count=7,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'k', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': 'w', 'pos': 5}]"
1694,Halká or -u,Halka or -u,,ADJ.,adj.,,H. halkā,"Light, not weighty",,"Light, not weighty",,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,52,original,,Halká or -u,Hअlká ओr -u,low,unmapped_chars_sample='Hlká r' count=9,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'k', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}]"
1695,Hallá,Halla,,NOUN,n.m.,,H. hallā,"A noise, a hue and cry",,"A noise, a hue and cry",,"-páṇá, v.i. re. To make a noise",mainDictionary_repaired.csv,52,original,,Hallá,Hअllá,low,unmapped_chars_sample='Hllá' count=4,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
1696,Halmandí,Halmandi,,NOUN,n.m.,,,See Blair (Used in Bashahr and Kunihár),,See Blair (Used in Bashahr and Kunihár),,,mainDictionary_repaired.csv,52,original,,Halmandí,Hअlmअndí,low,unmapped_chars_sample='Hlmndí' count=6,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'm', 'pos': 3}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 4, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'n', 'pos': 5}]"
1697,Halṇu,Halnu,,V.A.,v.a. re.,,,"To shake, to tremble",,"To shake, to tremble",,,mainDictionary_repaired.csv,52,original,,Halṇu,Hअlṇu,low,unmapped_chars_sample='Hlṇu' count=4,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'ṇ', 'pos': 3}, {'matched': None, 'char': 'u', 'pos': 4}]"
1698,Háló,Halo,,NOUN,n.m.,,,"A kind of greens called in Hindi, chamchur",,"A kind of greens called in Hindi, chamchur",,,mainDictionary_repaired.csv,52,original,,Háloː,Hálओ (lengthened),low,unmapped_chars_sample='Hál' count=3,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': 'ó', 'ipa': 'oː', 'deva': 'ओ (lengthened)', 'pos': 3, 'len': 1, 'note': ""Possibly lengthened 'o' or different quality""}]"
1699,Halsh or -í,Halsh or -i,,N.F.,n.f.,,,The long piece of wood in a plough,,The long piece of wood in a plough,,,mainDictionary_repaired.csv,52,original,,Halsh or -í,Hअlsh ओr -í,low,unmapped_chars_sample='Hlsh r' count=9,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 's', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}]"
1700,Halṭú,Haltu,,NOUN,n.m.,,,A kind of small plough,,A kind of small plough,,,mainDictionary_repaired.csv,52,original,,Halṭú,Hअlṭú,low,unmapped_chars_sample='Hlṭú' count=4,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'ṭ', 'pos': 3}, {'matched': None, 'char': 'ú', 'pos': 4}]"
1701,Halwá,Halwa,,NOUN,n.m.,,H. halwā,A kind of cake,,A kind of cake,,,mainDictionary_repaired.csv,52,original,,Halwá,Hअlwá,low,unmapped_chars_sample='Hlwá' count=4,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 2}, {'matched': None, 'char': 'w', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}]"
1702,Hámbai,Hambai,,ADV.,adv.,,,"'Yes,' or 'very well'",,"'Yes,' or 'very well'",,,mainDictionary_repaired.csv,52,original,,Hámbai,Hámbअi,low,unmapped_chars_sample='Hámbi' count=5,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': None, 'char': 'b', 'pos': 3}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 4, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'i', 'pos': 5}]"
1703,Hámeň,Hamen,,PRO.,pro. pl.,,,We,,We,,"-íň, f.",mainDictionary_repaired.csv,52,original,,Hámeň,Hámएň,low,unmapped_chars_sample='Hámň' count=4,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 3, 'len': 1, 'note': 'Mid-front vowel'}, {'matched': None, 'char': 'ň', 'pos': 4}]"
1704,Hámiyá,Hamiya,,N.F.,n.f.,,,"Enmity, opposition",,"Enmity, opposition",,"-karṇí, v.i. ir. To oppose",mainDictionary_repaired.csv,52,original,,Hámiyá,Hámiyá,low,unmapped_chars_sample='Hámiyá' count=6,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'm', 'pos': 2}, {'matched': None, 'char': 'i', 'pos': 3}, {'matched': None, 'char': 'y', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}]"
1705,Háň,Han,,ADV.,adv.,,,Yes,,Yes,,"-karṇí, v.i. ir. To assent, to say yes; -ná, adv. Yes or no",mainDictionary_repaired.csv,52,original,,Háň,Háň,low,unmapped_chars_sample='Háň' count=3,"[{'matched': None, 'char': 'H', 'pos': 0}, {'matched': None, 'char': 'á', 'pos': 1}, {'matched': None, 'char': 'ň', 'pos': 2}]"
1706,Lugṛu,Lugru,,NOUN,n.m.,,,The ceremony observed at the time of a child eating grain for the first time (Bashahr),,The ceremony observed at the time of a child eating grain for the first time (Bashahr),,,mainDictionary_repaired.csv,53,original,,Lugṛu,Lugṛu,low,unmapped_chars_sample='Lugṛu' count=5,"[{'matched': None, 'char': 'L', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': None, 'char': 'ṛ', 'pos': 3}, {'matched': None, 'char': 'u', 'pos': 4}]"
